,X_m,Y_m,Z_m,Hydraulic_conductivity_m/s
0,0,0,0,0.00018697435
1,0,0,0.05,0.000179454187
2,0,0,0.1,0.000127081977
3,0,0,0.15,0.000120764767
4,0,0,0.2,0.000169925646
5,0,0,0.25,0.000163219411
6,0,0,0.3,0.000246174333
7,0,0,0.35,0.00019494008
8,0,0,0.4,0.000153447533
9,0,0,0.45,0.000145881086
10,0,0,0.5,9.03073387E-05
11,0,0,0.55,0.000116291997
12,0,0,0.6,0.000153612784
13,0,0,0.65,6.6212407E-05
14,0,0,0.7,5.69780357E-05
15,0,0,0.75,7.80892875E-05
16,0,0,0.8,6.73740281E-05
17,0,0,0.85,0.000106266825
18,0,0,0.9,0.000100531926
19,0,0,0.95,0.000150600768
20,0,0,1,9.79673361E-05
21,0,0,1.05,8.40473981E-05
22,0,0,1.1,0.000122453163
23,0,0,1.15,0.000154731612
24,0,0,1.2,0.000146749426
25,0,0,1.25,0.000128056387
26,0,0,1.3,0.0001271629
27,0,0,1.35,0.000118149697
28,0,0,1.4,0.000119264583
29,0,0,1.45,0.000117440966
30,0,0,1.5,0.000102908363
31,0,0,1.55,8.86909835E-05
32,0,0,1.6,0.00010026944
33,0,0,1.65,8.84866266E-05
34,0,0,1.7,9.79673361E-05
35,0,0,1.75,6.58273333E-05
36,1,0,0,0.000140611617
37,1,0,0.05,0.000197156121
38,1,0,0.1,0.000208510662
39,1,0,0.15,0.000136131608
40,1,0,0.2,0.000164568333
41,1,0,0.25,0.000131698202
42,1,0,0.3,0.000212172353
43,1,0,0.35,0.000247363581
44,1,0,0.4,0.000185235053
45,1,0,0.45,0.000167699545
46,1,0,0.5,0.000161488451
47,1,0,0.55,7.55968426E-05
48,1,0,0.6,0.000104926764
49,1,0,0.65,5.1617199E-05
50,1,0,0.7,5.89910845E-05
51,1,0,0.75,9.10028339E-05
52,1,0,0.8,0.000106485391
53,1,0,0.85,8.24102918E-05
54,1,0,0.9,0.000116291997
55,1,0,0.95,0.000150012483
56,1,0,1,0.000108410105
57,1,0,1.05,8.2625594E-05
58,1,0,1.1,8.49628231E-05
59,1,0,1.15,7.05941104E-05
60,1,0,1.2,7.50062423E-05
61,1,0,1.25,8.13627028E-05
62,1,0,1.3,0.000110288441
63,1,0,1.35,8.10194001E-05
64,1,0,1.4,5.92641914E-05
65,1,0,1.45,5.60859856E-05
66,1,0,1.5,7.31656684E-05
67,1,0,1.55,0.000111244515
68,1,0,1.6,9.30851172E-05
69,1,0,1.65,0.000117028023
70,1,0,1.7,0.000158037843
71,1,0,1.75,0.000121914907
72,2,0,0,8.81364895E-05
73,2,0,0.05,0.000126326302
74,2,0,0.1,0.000158690892
75,2,0,0.15,0.000125632607
76,2,0,0.2,0.000160013316
77,2,0,0.25,0.000159302145
78,2,0,0.3,0.000170925049
79,2,0,0.35,0.000199265107
80,2,0,0.4,0.000222961498
81,2,0,0.45,0.000209608087
82,2,0,0.5,0.000195223218
83,2,0,0.55,0.00019494008
84,2,0,0.6,0.000106559718
85,2,0,0.65,5.65168448E-05
86,2,0,0.7,6.24442212E-05
87,2,0,0.75,6.21410939E-05
88,2,0,0.8,0.000100531926
89,2,0,0.85,5.23808151E-05
90,2,0,0.9,7.50062423E-05
91,2,0,0.95,0.000123881277
92,2,0,1,0.000139250127
93,2,0,1.05,0.000146019756
94,2,0,1.1,0.000105962336
95,2,0,1.15,0.000129757386
96,2,0,1.2,0.000135700338
97,2,0,1.25,0.000168752273
98,2,0,1.3,0.000137645863
99,2,0,1.35,0.000122049027
100,2,0,1.4,7.30098784E-05
101,2,0,1.45,7.30098784E-05
102,2,0,1.5,5.21276657E-05
103,2,0,1.55,6.29560591E-05
104,2,0,1.6,7.08546052E-05
105,2,0,1.65,9.36663318E-05
106,2,0,1.7,5.15772042E-05
107,2,0,1.75,0.00011003781
108,3,0,0,0.000125755722
109,3,0,0.05,0.000150012483
110,3,0,0.1,0.000187332663
111,3,0,0.15,0.000180296695
112,3,0,0.2,0.000182872361
113,3,0,0.25,0.000222961498
114,3,0,0.3,0.000229959257
115,3,0,0.35,0.000205449196
116,3,0,0.4,0.00025100128
117,3,0,0.45,0.000203191513
118,3,0,0.5,0.00015300078
119,3,0,0.55,0.000232408593
120,3,0,0.6,3.66840481E-05
121,3,0,0.65,8.20581106E-05
122,3,0,0.7,8.00066584E-05
123,3,0,0.75,9.7135455E-05
124,3,0,0.8,8.14556282E-05
