id,X_m,Y_m,Sea_level_m,Thickness_m,Hydraulic_conductivity_m/d
p 19,983800,414100,10,120.02,1.56
b 01,981100,410800,40,161.4,0.03
b 03,980950,406820,6.52,145.4,1.81
b 04,980100,406000,6,108.05,0.84
b 05,983600,406250,10.75,126.33,0.72
b 06,986100,411800,7,217.55,0.41
b 07,983800,410300,0.54,139.4,1.56
b 08,988850,409650,1.5,157.92,0.76
b 09,989400,408550,13.56,170.48,1.42
b 10,984350,407900,6.55,145.02,6.26
b 11,989500,407250,8.62,145.15,0.86
b 12,988600,406600,16.57,85.82,3.11
b 13,992000,406600,6.98,172.05,0.51
b 14,985000,406950,7,132.18,0.68
b 15,971850,406350,13,189.1,1.3
b 17,985300,407400,8,151.19,1.64
b 18,975800,405700,1,111.36,1.12
b 19,976050,409450,3,151,0.95
b 20,978350,406800,7.43,160.52,1.04
6902,993200,407800,1.85,174.92,0.86
6906,987100,409450,7.87,119.87,13.96
6907,985900,410200,25,173.8,1.81
6909,985600,408950,6.25,140.19,3.28
6910,988300,408950,0.96,164.34,2.42
6911,986400,412500,8,116.18,2.68
6912,990000,409000,18,157.18,2.68
6917,990400,407300,4.96,98.5,8.64
6918,991500,405950,30,151.52,6.32
6919,991650,409000,13.71,136.43,3.36
6920,993600,406500,14.58,101.46,0.84
6921,984780,411690,9.46,149.25,3.46
6925,994950,406950,19.33,86.98,30.24
a 5,978850,406850,27,163.87,1.3
s 3,984500,403800,35,105,1.3
565,988050,405800,7,109.16,1.12
6923,995100,405950,8,104.61,9.42
