well_id,X_m,Y_m,Z_m,K_m/s,measurement_method
X1,51.6853932584269,-612.676056338028,0.9,5.6E-05,pumping_test
X3,-47.1910112359549,-650.704225352113,0.9,1.6E-05,pumping_test
X4,-88.7640449438202,-656.338028169014,0.9,3.6E-05,pumping_test
X5,-107.865168539326,-554.929577464788,0.9,4.6E-06,pumping_test
X6,-164.044943820225,-549.295774647887,0.9,,
X7,-177.52808988764,-591.549295774648,0.9,0.00021,pumping_test
X8,-211.23595505618,-595.774647887324,0.9,0.0013,pumping_test
X9,137.078651685393,-518.30985915493,0.9,3E-05,pumping_test
X11,184.269662921348,-171.830985915493,0.9,,
X12,103.370786516854,-445.070422535211,0.9,,
X13,143.820224719101,-283.098591549296,0.9,0.0019,pumping_test
X14,35.9550561797752,-467.605633802817,0.9,,
X16,-128.089887640449,-397.183098591549,0.9,5.1E-05,pumping_test
X17,-189.887640449438,-388.732394366197,0.9,0.00041,pumping_test
X18,-252.808988764045,-449.295774647887,0.9,2.5E-06,pumping_test
X19,-341.573033707865,-588.732394366197,0.9,1.2E-05,pumping_test
X20,-115.730337078652,-476.056338028169,0.9,,
X21,3.37078651685403,-570.422535211268,0.9,0.0012,pumping_test
X22,397.752808988764,-269.014084507042,0.9,0.00037,pumping_test
X23,224.719101123596,-338.028169014084,0.9,0.00016,pumping_test
X24,166.292134831461,-463.380281690141,0.9,,
X27,-8.98876404494382,-738.028169014084,0.9,0.0017,pumping_test
X41,351.685393258427,-235.211267605634,0.9,0.00086,pumping_test
X42,-143.820224719101,-364.788732394366,0.9,,
X44,-214.606741573034,-556.338028169014,0.9,,
X46,4.49438202247188,-809.859154929577,0.9,,
Y2,375.280898876405,245.070422535211,0.9,,
Y3,340.449438202247,184.507042253521,0.9,0.0001,pumping_test
Y4,261.797752808989,200,0.9,0.0001,pumping_test
Y5,428.089887640449,101.408450704225,0.9,9.1E-05,pumping_test
Y6,413.483146067416,159.154929577465,0.9,0.00046,pumping_test
Y9,339.325842696629,136.619718309859,0.9,,
Y10,286.516853932584,249.295774647887,0.9,0.001,pumping_test
