East UTM km,North UTM km,T m2/d
772.239,3239.425,13
763.940,3236.181,17
762.080,3238.843,17
763.364,3239.447,17
761.575,3241.437,17
772.289,3238.947,22
771.286,3240.129,23
778.950,3236.186,24
766.509,3235.056,26
765.346,3234.580,26
772.855,3240.506,28
774.445,3240.652,31
764.364,3236.869,35
763.412,3240.074,35
770.654,3237.054,41
763.978,3233.000,42
765.738,3235.683,43
774.612,3240.611,43
717.756,3249.500,43
771.707,3238.958,45
772.906,3240.087,45
775.505,3240.307,46
729.900,3249.354,49
700.857,3249.452,49
774.243,3240.055,50
717.718,3249.687,52
717.672,3249.543,52
773.601,3240.688,52
774.249,3240.359,52
775.038,3238.076,52
773.758,3239.630,54
765.000,3235.000,55
761.130,3229.700,55
773.680,3240.160,58
773.199,3235.487,59
734.849,3224.343,60
721.891,3244.367,60
727.400,3249.357,60
774.553,3240.354,60
770.690,3239.283,60
774.476,3238.555,60
751.800,3195.550,63
729.871,3234.353,67
744.302,3240.802,67
760.310,3223.378,69
809.199,3161.100,69
749.900,3239.800,70
701.504,3267.451,71
766.000,3233.000,74
765.650,3229.900,75
729.896,3246.854,75
722.386,3241.867,75
791.100,3164.500,80
727.371,3234.357,82
754.475,3199.700,84
763.309,3236.418,86
668.655,3222.888,86
697.721,3261.009,86
719.882,3239.371,87
749.600,3198.875,90
754.050,3190.225,90
717.388,3241.878,92
775.821,3239.440,95
750.700,3197.225,98
724.900,3249.361,100
756.200,3189.850,102
739.848,3224.334,104
755.300,3182.400,104
754.550,3188.225,107
706.431,3248.927,109
756.800,3187.825,112
700.761,3266.138,113
727.345,3221.861,116
775.733,3238.172,118
755.000,3186.350,118
698.581,3278.859,119
752.900,3193.900,119
682.736,3251.971,125
756.045,3192.245,125
722.372,3234.367,126
724.871,3234.363,131
753.150,3197.625,131
757.550,3190.950,131
717.391,3244.377,134
755.500,3198.050,134
755.000,3180.400,134
811.150,3163.400,134
727.357,3226.810,138
709.850,3221.895,149
757.500,3185.950,149
753.375,3201.325,157
724.866,3231.863,158
762.514,3221.430,160
727.366,3231.859,161
686.204,3249.228,162
756.250,3182.500,164
729.856,3226.804,164
727.361,3229.359,169
694.939,3271.855,170
735.860,3229.791,173
670.411,3240.925,173
686.932,3258.101,173
716.882,3239.379,179
683.925,3249.892,179
756.600,3196.350,179
737.349,3224.339,180
719.872,3234.373,183
729.865,3231.853,186
717.397,3246.877,191
756.900,3200.150,194
769.615,3238.174,195
755.350,3194.275,204
729.860,3229.354,205
755.800,3200.750,205
756.009,3200.879,205
719.986,3216.326,209
755.800,3201.825,224
742.348,3224.327,236
757.300,3181.300,239
760.313,3221.424,246
754.000,3192.200,246
717.368,3231.879,248
724.846,3221.865,257
761.162,3239.505,259
690.030,3250.344,259
677.906,3249.441,259
764.899,3216.600,268
717.348,3221.880,268
752.050,3199.275,281
722.342,3219.371,283
717.372,3234.379,289
799.000,3186.000,290
773.470,3244.760,298
761.215,3172.298,304
741.900,3210.575,311
722.381,3239.367,313
754.700,3203.500,313
719.867,3231.873,328
754.275,3195.950,328
727.340,3219.361,340
724.706,3231.388,346
724.861,3229.363,359
755.600,3184.400,395
712.500,3222.500,403
745.357,3209.325,422
717.363,3229.379,443
748.500,3200.550,455
746.350,3203.900,473
722.367,3231.869,492
750.950,3200.950,492
747.000,3225.000,522
719.858,3226.824,522
752.250,3203.025,596
758.850,3193.000,596
757.800,3183.500,596
759.500,3184.850,596
714.588,3227.565,638
757.775,3194.775,656
714.835,3214.388,671
719.847,3221.877,716
714.839,3216.886,738
744.325,3207.375,738
722.358,3226.820,746
747.425,3202.200,746
759.100,3196.800,746
753.600,3205.175,746
746.460,3207.640,787
742.850,3212.000,820
807.592,3161.563,864
724.857,3226.814,895
758.000,3198.475,895
752.500,3206.850,895
758.650,3189.250,910
745.225,3205.560,910
695.631,3286.995,1044
756.000,3220.000,1118
749.850,3202.625,1118
758.900,3187.500,1118
747.650,3205.950,1118
719.862,3229.375,1193
760.200,3195.125,1193
742.000,3214.000,1193
717.338,3216.883,1233
719.837,3216.877,1233
709.841,3216.896,1312
739.837,3219.336,1387
744.300,3211.000,1491
748.950,3208.050,1491
800.500,3167.000,1491
737.338,3219.340,1640
750.050,3206.350,1640
807.599,3161.039,1728
742.346,3223.328,1728
714.844,3219.386,1728
714.849,3221.886,1728
719.832,3214.379,1728
712.340,3216.892,1728
722.331,3214.373,1728
727.330,3214.363,1728
728.830,3214.360,1728
709.836,3214.398,1728
727.336,3216.861,1728
724.841,3219.365,1728
722.347,3221.871,1728
717.343,3219.381,1834
709.840,3219.396,1938
743.075,3208.905,1938
801.700,3171.750,1938
742.331,3216.830,2147
714.200,3224.200,2237
751.150,3204.675,2237
