well_id,X_m,Y_m,Z_m,K_m/s,measurement_method
23-A,15016.2870594223,293.103448275864,48.3,41.8*0.000001,
27-2,1794.63036009671,11827.5862068966,32,5.59*0.000001,
27-4,2092.5054078127,11465.5172413793,60.6,1.26*0.000001,
30A-1,3441.65924417865,8655.17241379311,118.6,2.57*0.000001,
30A-2,3534.6736225983,8551.72413793103,130.5,1.97*0.000001,
30A-4,4178.39419773508,8827.58620689655,44.5,6.7*0.000001,
30A-6,5386.05420536964,7689.65517241379,117.3,9.29*0.000001,
30A-7,5757.22102048607,7396.55172413793,83.2,3.39*0.000001,
30A-10,5127.24265173686,7758.62068965517,48.5,3.22*0.000001,
30A-11,5926.32650464436,6982.75862068966,45.7,5.95*0.000001,
30A-12,3805.82771344955,9310.34482758621,43,47.7*0.000001,
30A-13,3489.75696653518,9637.93103448276,104.5,0.381*0.000001,
30A-14,4777.32535946049,7672.41379310345,164.6,1.21*0.000001,
30A-15,5370.0216312508,7362.06896551724,42.1,40.6*0.000001,
30B-19,5501.2088051915,7086.20689655172,45.4,46*0.000001,
30B-21,6021.24952284006,6620.68965517241,97.8,1.67*0.000001,
30B-BKH,5833.43936887645,7068.96551724138,30.2,64.6*0.000001,
32-11,15870.3397378801,-431.03448275862,77.7,46.5*0.000001,
35-1,8701.23425372185,5982.75862068966,85.3,50.6*0.000001,
35-2,8015.77808881537,6362.06896551724,121.9,0.277*0.000001,
35-3,9200.53441913729,5827.58620689655,36.6,91.3*0.000001,
35-4,8222.67464053951,5827.58620689655,54.9,32.6*0.000001,
