well_id,X_m,Y_m,Z_m,K_m/d,measurement_method
T1,-2.68659096400097,0.238366755254887,0,35.6,slug_test
T2,-2.39497463155352,1.07455907223967,0,25.8,slug_test
T3,-1.82362889586857,1.98212128533462,0,17.8,slug_test
T4,-1.25440927760329,2.85044696786663,0,5.9,slug_test
T5,-0.731287750664415,3.77714423773858,0,13.2,slug_test
T6,-0.370137714423777,4.62382217927035,0,12.4,slug_test
T7,0.270210195699442,5.53206088427156,0,6.8,slug_test
T8,0.68171055810582,6.39884029958927,0,11.3,slug_test
T9,-3.48886204397198,0.887364097608113,0,17,slug_test
T10,-3.12824353708626,1.72423290649915,0,13.1,slug_test
T11,-2.60724812756705,2.61169364580816,0,8.3,slug_test
T12,-2.16511234597729,3.49838125151002,0,14.5,slug_test
T13,-1.64411693645809,4.38584199081904,0,7,slug_test
T14,-1.15163082870259,5.29263107030684,0,7.8,slug_test
T15,-0.587194974631558,6.07267455907224,0,8,slug_test
T16,-0.033969557864222,7.0094708866876,0,12,slug_test
T17,-4.35689780140131,1.2317951195941,0,33.1,slug_test
T18,-3.9587339937183,2.21609084319883,0,16.6,slug_test
T19,-3.48915196907466,3.06383184344044,0,1.9,slug_test
T20,-2.92978980430056,3.93206088427156,0,13.2,slug_test
T21,-2.44344044455183,4.9074172505436,0,8.7,slug_test
T22,-1.94428605943465,5.75544817588789,0,12,slug_test
T23,-1.47310944672627,6.6326165740517,0,8.5,slug_test
T24,-0.89615849238947,7.46180236772167,0,12,slug_test
T25,-5.11041314327133,1.87146653781105,0,13.8,slug_test
T26,-4.69359748731578,2.83633727953611,0,2.7,slug_test
T27,-4.31940082145446,3.74196665861318,0,13.7,slug_test
T28,-3.79333172263833,4.54124184585648,0,31.3,slug_test
T29,-3.21478618023678,5.39985503744865,0,8.9,slug_test
T30,-2.72017395506161,6.34588064749939,0,10,slug_test
T31,-2.2479342836434,7.24266731094467,0,12.2,slug_test
T32,-1.61691229765644,8.16061850688572,0,14.5,slug_test
T33,-5.92254167673352,2.52036723846339,0,3.2,slug_test
T34,-5.49132640734478,3.38733993718288,0,4.8,slug_test
T35,-5.15283884996377,4.36124667794152,0,7.5,slug_test
T36,-4.60918096158493,5.12147861802367,0,28.4,slug_test
T37,-4.06793911572844,6.0189417733752,0,34.2,slug_test
T38,-3.50591930417976,6.93621647740999,0,8.8,slug_test
T39,-3.03155351534188,7.87223967141821,0,15.5,slug_test
T40,-2.43276153660305,8.7408552790529,0,11.8,slug_test
