id,Easting,Northing,Type,Diameter,Length,Width,Depth_W,Water_table,Time,Depth_L,Radius,LdivR,Hydraulic_conductivity_m/s,lnKs,Normalized
1,31613,52119,1,1.8,0,0,6,1.3,450,4.7,0.9,5.22,0.941,-0.06,6.15
2,31816,53276,1,1,0,0,6.9,0.7,10,6.2,0.5,12.4,11.872,2.47,8.69
3,31781,53218,1,1,0,0,7.4,1.7,60,5.7,0.5,11.4,2.118,0.75,6.97
4,31781,53334,2,0,5,2.2,4.6,1.6,246,3,1.11,2.69,3.525,1.26,7.47
5,32583,48326,1,2,0,0,7.8,5.5,669,2.3,1,2.3,1.307,0.27,6.48
7,32675,48102,1,1.7,0,0,4.8,1.6,19,3.2,0.85,3.76,27.046,3.3,9.51
8,32266,48498,1,1.6,0,0,6.2,5,630,1.2,0.8,1.5,1.519,0.42,6.63
9,37502,50735,1,1.22,0,0,5.2,1.2,265,4,0.61,6.56,0.907,-0.1,6.12
10,32676,48646,1,1,0,0,6.7,5,88,1.7,0.5,3.4,3.71,1.31,7.53
11,32408,48426,1,1.7,0,0,6.3,1.3,1620,5,0.85,5.88,0.225,-1.49,4.72
12,32637,48587,2,0,2.8,2.2,5.3,3,570,2.3,0.62,3.69,0.673,-0.4,5.82
13,32406,48048,2,0,1.4,1.4,7.2,4.3,229,2.9,0.2,14.6,0.18,-1.71,4.5
14,22721,52611,2,0,2.05,0.75,5.36,3.01,1380,2.35,0.16,15.09,0.023,-3.78,2.44
31,25058,68534,1,3.5,0,0,1.75,0.22,1590,1.53,1.75,0.87,1.939,0.66,6.88
32,23780,67690,1,4.5,0,0,2.28,0.86,1303,1.42,2.25,0.63,3.827,1.34,7.56
33,23716,67722,1,2.8,0,0,4.23,2.67,605,1.56,1.4,1.11,3.429,1.23,7.45
34,24533,68892,2,0,9,3,3.34,1.8,1450,1.54,2.74,0.56,4.53,1.51,7.73
35,25088,67200,2,0,2,4,2.4,0.58,900,1.82,0.81,2.25,0.802,-0.22,5.99
36,15305,62759,1,2.5,0,0,2.85,1.01,3920,1.84,1.25,1.47,0.387,-0.95,5.27
37,15666,60862,1,0.96,0,0,3.92,0.92,568,3,0.48,6.25,0.346,-1.06,5.15
38,13659,61760,1,0.93,0,0,3.82,1.14,565,2.68,0.47,5.76,0.359,-1.03,5.19
