id,Latitude,Longitude,Depth_m,Transmissivity_conductivity_m2/d
1,25.597,30.647,405,180
2,25.569,30.641,712,171
3,25.518,30.642,349,109
4,25.451,30.549,312,222
5,25.449,30.611,784,294
6,25.435,30.552,307,163
7,25.435,30.577,412,422
8,25.425,30.547,315,207
9,25.409,30.555,304,932
10,25.392,30.549,313,553
11,25.383,30.545,351,537
12,25.379,30.521,640,473
13,25.378,30.545,737,477
14,25.373,30.596,358,826
15,25.349,30.548,327,687
16,25.333,30.548,357,668
17,25.276,30.574,750,317
18,25.254,30.567,485,181
19,25.236,30.624,421,260
20,25.211,30.531,430,542
21,25.114,30.544,470,417
22,25.084,30.555,495,221
23,24.994,30.562,574,407
24,24.901,30.582,588,898
25,24.867,30.567,732,497
26,24.837,30.563,673,354
27,24.771,30.569,434,749
28,24.752,30.59,447,821
29,24.742,30.637,444,147
30,24.713,30.586,534,270
31,24.71,30.616,435,975
32,24.705,30.624,469,173
33,24.697,30.587,434,827
34,24.689,30.584,385,212
35,24.669,30.602,475,432
36,24.657,30.601,384,521
37,24.57,30.703,298,166
38,24.569,30.586,403,883
39,24.53,30.646,420,841
40,24.521,30.63,424,957
41,24.516,30.615,427,625
42,24.516,30.643,348,1201
43,24.507,30.615,325,494
44,24.437,30.641,280,200
45,24.413,30.637,235,212
46,24.405,30.625,225,73
