well_id,X_m,Y_m,Z_m,K_m/d,measurement_method
,515985.954002641,6206039.31797158,0,11.3,slug_test
,515985.405958358,6206038.87981587,0,12.7,slug_test
,515984.69198233,6206037.8933961,0,3.96,slug_test
,515983.979205086,6206037.23604265,0,13.1,slug_test
,515982.994403675,6206036.90805523,0,5.41,slug_test
,515985.245820738,6206039.92203905,0,22.5,slug_test
,515984.587887882,6206039.31947006,0,0.59,slug_test
,515983.821465034,6206038.93639849,0,5.47,slug_test
,515983.273021157,6206038.38855401,0,0.65,slug_test
,515982.505998917,6206037.84094928,0,1.82,slug_test
,515954.129472715,6206063.48450671,0,7.54,slug_test
,515953.854051991,6206062.88151814,0,11.5,slug_test
,515953.687121259,6206062.05903214,0,8.95,slug_test
,515953.575834104,6206061.51070814,0,4.88,slug_test
,515953.1911242,6206060.90783945,0,4.22,slug_test
,515952.544979391,6206063.54108933,0,16.3,slug_test
,515952.597626007,6206062.99258552,0,6.61,slug_test
,515952.432093857,6206062.55401023,0,8.85,slug_test
,515952.430095883,6206062.00556636,0,4.65,slug_test
,515952.428097909,6206061.45712248,0,65.4,slug_test
,515951.616221152,6206063.59695269,0,9.84,slug_test
,515951.449690014,6206062.88415547,0,7.49,slug_test
,515951.338802454,6206062.44552024,0,3.28,slug_test
,515951.337004278,6206061.95192075,0,29.9,slug_test
,515951.389650894,6206061.40341693,0,74.4,slug_test
,515950.634216904,6206064.0367867,0,1.07,slug_test
,515950.522530154,6206063.37877392,0,7.89,slug_test
,515950.41044381,6206062.61107237,0,2.41,slug_test
,515950.353601448,6206062.00784405,0,0.35,slug_test
,515950.40584847,6206061.34965145,0,11.8,slug_test
,515949.759903458,6206064.03774573,0,2.44,slug_test
,515949.593771915,6206063.43463728,0,5.6,slug_test
,515949.482484761,6206062.88631328,0,1.17,slug_test
,515949.426041993,6206062.39277373,0,10.4,slug_test
,515949.478888407,6206061.8991143,0,69.3,slug_test
,515948.668410232,6206064.42285522,0,1.5,slug_test
,515948.502678284,6206063.92943555,0,2.32,slug_test
,515948.33514816,6206062.94241639,0,8.52,slug_test
,515948.333150186,6206062.39397251,0,26.8,slug_test
,515948.276907216,6206061.95527735,0,80.4,slug_test
