,x,y,z,Hydraulic_conductivity_m/d
0,9.6,20.5,22.6,1e-05
1,19.2,41.0,22.6,1e-05
2,28.8,61.5,22.6,1e-05
3,38.4,82.0,22.6,1e-05
4,48.0,102.5,22.6,1e-05
5,57.6,123.0,22.6,1e-05
6,67.2,143.5,22.6,1e-05
7,76.8,164.0,22.6,1e-05
8,86.4,184.5,22.6,1e-05
9,96.0,205.0,22.6,1e-05
10,105.6,225.5,22.6,1e-05
11,115.2,246.0,22.6,1e-05
12,124.8,266.5,22.6,1e-05
13,134.4,287.0,22.6,1e-05
14,144.0,307.5,22.6,1e-05
15,153.6,328.0,22.6,1e-05
16,163.2,348.5,22.6,1e-05
17,172.8,369.0,22.6,1e-05
18,182.4,389.5,22.6,1e-05
19,192.0,410.0,22.6,1e-05
20,201.6,430.5,22.6,1e-05
21,211.2,451.0,22.6,0.0025
22,220.8,471.5,22.6,0.0025
23,230.4,492.0,22.6,0.0025
24,240.0,512.5,22.6,0.0025
25,249.6,533.0,22.6,0.0025
26,259.2,553.5,22.6,0.0025
27,268.8,574.0,22.6,0.0025
28,278.4,594.5,22.6,0.0025
29,288.0,615.0,22.6,0.0025
30,297.6,635.5,22.6,0.0025
31,307.2,656.0,22.6,0.0025
32,316.8,676.5,22.6,0.0025
33,326.4,697.0,22.6,0.0025
34,336.0,717.5,22.6,0.0025
35,345.6,738.0,22.6,0.0025
36,355.2,758.5,22.6,0.0025
37,364.8,779.0,22.6,0.0025
38,374.4,799.5,22.6,0.0025
39,384.0,820.0,22.6,0.001
40,393.6,840.5,22.6,0.001
41,403.2,861.0,22.6,0.001
42,412.8,881.5,22.6,0.001
43,422.4,902.0,22.6,0.001
44,432.0,922.5,22.6,0.001
45,441.6,943.0,22.6,0.001
46,451.2,963.5,22.6,0.001
47,460.8,984.0,22.6,0.001
48,470.4,1004.5,22.6,1e-05
49,480.0,1025.0,22.6,1e-05
50,489.6,1045.5,22.6,0.001
51,499.2,1066.0,22.6,0.001
52,508.8,1086.5,22.6,1e-24
53,518.4,1107.0,22.6,0.001
54,528.0,1127.5,22.6,0.001
55,537.6,1148.0,22.6,1e-05
56,547.2,1168.5,22.6,1e-05
57,556.8,1189.0,22.6,1e-05
58,566.4,1209.5,22.6,1e-05
59,576.0,1230.0,22.6,1e-05
60,585.6,1250.5,22.6,0.0001
61,595.2,1271.0,22.6,0.0001
62,604.8,1291.5,22.6,0.0001
63,614.4,1312.0,22.6,0.0001
64,624.0,1332.5,22.6,0.0001
65,633.6,1353.0,22.6,0.0001
66,643.2,1373.5,22.6,0.0001
67,652.8,1394.0,22.6,0.001
68,662.4,1414.5,22.6,0.001
69,672.0,1435.0,22.6,0.001
70,681.6,1455.5,22.6,0.001
71,691.2,1476.0,22.6,0.001
72,700.8,1496.5,22.6,0.001
73,710.4,1517.0,22.6,5e-06
74,720.0,1537.5,22.6,5e-06
75,729.6,1558.0,22.6,5e-06
76,739.2,1578.5,22.6,5e-06
77,748.8,1599.0,22.6,1e-05
78,758.4,1619.5,22.6,5e-06
79,768.0,1640.0,22.6,5e-06
80,777.6,1660.5,22.6,5e-06
81,787.2,1681.0,22.6,5e-06
82,796.8,1701.5,22.6,5e-06
83,806.4,1722.0,22.6,5e-06
84,816.0,1742.5,22.6,5e-06
85,825.6,1763.0,22.6,5e-06
86,835.2,1783.5,22.6,1e-05
87,844.8,1804.0,22.6,1e-05
88,854.4,1824.5,22.6,1e-05
89,864.0,1845.0,22.6,1e-05
90,873.6,1865.5,22.6,1e-05
91,883.2,1886.0,22.6,1e-05
92,892.8,1906.5,22.6,1e-05
