"x" "y" "z" "Facies"
9.6 20.5 22.6 6
19.2 41 22.6 6
28.8 61.5 22.6 6
38.4 82 22.6 6
48 102.5 22.6 6
57.6 123 22.6 6
67.2 143.5 22.6 6
76.8 164 22.6 6
86.4 184.5 22.6 6
96 205 22.6 6
105.6 225.5 22.6 6
115.2 246 22.6 6
124.8 266.5 22.6 6
134.4 287 22.6 6
144 307.5 22.6 6
153.6 328 22.6 6
163.2 348.5 22.6 6
172.8 369 22.6 6
182.4 389.5 22.6 6
192 410 22.6 6
201.6 430.5 22.6 6
211.2 451 22.6 3
220.8 471.5 22.6 3
230.4 492 22.6 3
240 512.5 22.6 3
249.6 533 22.6 3
259.2 553.5 22.6 3
268.8 574 22.6 3
278.4 594.5 22.6 3
288 615 22.6 3
297.6 635.5 22.6 3
307.2 656 22.6 3
316.8 676.5 22.6 3
326.4 697 22.6 3
336 717.5 22.6 3
345.6 738 22.6 3
355.2 758.5 22.6 3
364.8 779 22.6 3
374.4 799.5 22.6 3
384 820 22.6 2
393.6 840.5 22.6 2
403.2 861 22.6 2
412.8 881.5 22.6 2
422.4 902 22.6 2
432 922.5 22.6 2
441.6 943 22.6 2
451.2 963.5 22.6 2
460.8 984 22.6 2
470.4 1004.5 22.6 6
480 1025 22.6 6
489.6 1045.5 22.6 2
499.2 1066 22.6 2
508.8 1086.5 22.6 8
518.4 1107 22.6 2
528 1127.5 22.6 2
537.6 1148 22.6 6
547.2 1168.5 22.6 6
556.8 1189 22.6 6
566.4 1209.5 22.6 6
576 1230 22.6 6
585.6 1250.5 22.6 4
595.2 1271 22.6 4
604.8 1291.5 22.6 4
614.4 1312 22.6 4
624 1332.5 22.6 4
633.6 1353 22.6 4
643.2 1373.5 22.6 4
652.8 1394 22.6 2
662.4 1414.5 22.6 2
672 1435 22.6 2
681.6 1455.5 22.6 2
691.2 1476 22.6 2
700.8 1496.5 22.6 2
710.4 1517 22.6 7
720 1537.5 22.6 7
729.6 1558 22.6 7
739.2 1578.5 22.6 7
748.8 1599 22.6 6
758.4 1619.5 22.6 7
768 1640 22.6 7
777.6 1660.5 22.6 7
787.2 1681 22.6 7
796.8 1701.5 22.6 7
806.4 1722 22.6 7
816 1742.5 22.6 7
825.6 1763 22.6 7
835.2 1783.5 22.6 6
844.8 1804 22.6 6
854.4 1824.5 22.6 6
864 1845 22.6 6
873.6 1865.5 22.6 6
883.2 1886 22.6 6
892.8 1906.5 22.6 6
902.4 1927 22.6 6
912 1947.5 22.6 2
921.6 1968 22.6 2
931.2 1988.5 22.6 2
940.8 2009 22.6 2
950.4 2029.5 22.6 2
960 2050 22.6 2
969.6 2070.5 22.6 2
979.2 2091 22.6 2
988.8 2111.5 22.6 5
998.4 2132 22.6 5
1008 2152.5 22.6 5
1017.6 2173 22.6 5
1027.2 2193.5 22.6 5
1036.8 2214 22.6 5
1046.4 2234.5 22.6 5
1056 2255 22.6 5
1065.6 2275.5 22.6 5
1075.2 2296 22.6 5
1084.8 2316.5 22.6 5
1094.4 2337 22.6 5
1104 2357.5 22.6 6
1113.6 2378 22.6 6
1123.2 2398.5 22.6 6
1132.8 2419 22.6 2
1142.4 2439.5 22.6 2
1152 2460 22.6 2
1161.6 2480.5 22.6 2
1171.2 2501 22.6 2
1180.8 2521.5 22.6 2
1190.4 2542 22.6 2
1200 2562.5 22.6 2
1209.6 2583 22.6 2
1219.2 2603.5 22.6 2
1228.8 2624 22.6 7
1238.4 2644.5 22.6 7
1248 2665 22.6 7
1257.6 2685.5 22.6 5
1267.2 2706 22.6 5
1276.8 2726.5 22.6 5
1286.4 2747 22.6 5
1296 2767.5 22.6 5
1305.6 2788 22.6 5
1315.2 2808.5 22.6 5
1324.8 2829 22.6 5
1334.4 2849.5 22.6 5
1344 2870 22.6 5
1353.6 2890.5 22.6 5
1363.2 2911 22.6 5
1372.8 2931.5 22.6 5
1382.4 2952 22.6 5
1392 2972.5 22.6 5
1401.6 2993 22.6 5
1411.2 3013.5 22.6 5
1420.8 3034 22.6 5
1430.4 3054.5 22.6 5
1440 3075 22.6 5
1449.6 3095.5 22.6 5
1459.2 3116 22.6 5
1468.8 3136.5 22.6 5
1478.4 3157 22.6 5
1488 3177.5 22.6 5
1497.6 3198 22.6 5
1507.2 3218.5 22.6 5
1516.8 3239 22.6 5
1526.4 3259.5 22.6 5
1536 3280 22.6 5
1545.6 3300.5 22.6 5
1555.2 3321 22.6 5
1564.8 3341.5 22.6 5
1574.4 3362 22.6 5
1584 3382.5 22.6 5
1593.6 3403 22.6 5
1603.2 3423.5 22.6 5
1612.8 3444 22.6 5
1622.4 3464.5 22.6 5
1632 3485 22.6 6
1641.6 3505.5 22.6 6
1651.2 3526 22.6 6
1660.8 3546.5 22.6 6
1670.4 3567 22.6 6
1680 3587.5 22.6 2
1689.6 3608 22.6 2
1699.2 3628.5 22.6 2
1708.8 3649 22.6 2
1718.4 3669.5 22.6 2
1728 3690 22.6 2
1737.6 3710.5 22.6 2
1747.2 3731 22.6 2
1756.8 3751.5 22.6 2
1766.4 3772 22.6 2
1776 3792.5 22.6 2
1785.6 3813 22.6 2
1795.2 3833.5 22.6 2
1804.8 3854 22.6 2
1814.4 3874.5 22.6 2
1824 3895 22.6 2
1833.6 3915.5 22.6 2
1843.2 3936 22.6 2
1852.8 3956.5 22.6 2
1862.4 3977 22.6 2
1872 3997.5 22.6 2
1881.6 4018 22.6 2
1891.2 4038.5 22.6 2
1900.8 4059 22.6 2
1910.4 4079.5 22.6 2
1920 4100 22.6 2
1929.6 4120.5 22.6 6
1939.2 4141 22.6 6
1948.8 4161.5 22.6 6
1958.4 4182 22.6 2
1968 4202.5 22.6 2
1977.6 4223 22.6 2
1987.2 4243.5 22.6 2
1996.8 4264 22.6 3
2006.4 4284.5 22.6 3
2016 4305 22.6 3
2025.6 4325.5 22.6 3
2035.2 4346 22.6 3
2044.8 4366.5 22.6 3
2054.4 4387 22.6 3
2064 4407.5 22.6 3
2073.6 4428 22.6 3
2083.2 4448.5 22.6 3
2092.8 4469 22.6 3
2102.4 4489.5 22.6 3
2112 4510 22.6 6
2121.6 4530.5 22.6 6
2131.2 4551 22.6 6
2140.8 4571.5 22.6 6
2150.4 4592 22.6 6
2160 4612.5 22.6 6
2169.6 4633 22.6 6
2179.2 4653.5 22.6 6
2188.8 4674 22.6 6
2198.4 4694.5 22.6 6
2208 4715 22.6 6
2217.6 4735.5 22.6 6
2227.2 4756 22.6 6
2236.8 4776.5 22.6 6
2246.4 4797 22.6 6
2256 4817.5 22.6 6
2265.6 4838 22.6 6
2275.2 4858.5 22.6 6
2284.8 4879 22.6 6
2294.4 4899.5 22.6 6
2304 4920 22.6 6
2313.6 4940.5 22.6 6
2323.2 4961 22.6 6
2332.8 4981.5 22.6 6
2342.4 5002 22.6 6
2352 5022.5 22.6 6
2361.6 5043 22.6 6
2371.2 5063.5 22.6 6
2380.8 5084 22.6 6
2390.4 5104.5 22.6 6
2400 5125 22.6 6
2409.6 5145.5 22.6 6
2419.2 5166 22.6 6
2428.8 5186.5 22.6 6
2438.4 5207 22.6 6
2448 5227.5 22.6 6
2457.6 5248 22.6 6
2467.2 5268.5 22.6 6
2476.8 5289 22.6 6
2486.4 5309.5 22.6 6
2496 5330 22.6 6
2505.6 5350.5 22.6 6
2515.2 5371 22.6 6
2524.8 5391.5 22.6 6
2534.4 5412 22.6 6
2544 5432.5 22.6 6
2553.6 5453 22.6 6
2563.2 5473.5 22.6 6
2572.8 5494 22.6 6
2582.4 5514.5 22.6 6
2592 5535 22.6 6
2601.6 5555.5 22.6 6
2611.2 5576 22.6 6
2620.8 5596.5 22.6 6
2630.4 5617 22.6 6
2640 5637.5 22.6 6
2649.6 5658 22.6 6
2659.2 5678.5 22.6 6
2668.8 5699 22.6 6
2678.4 5719.5 22.6 6
2688 5740 22.6 6
2697.6 5760.5 22.6 6
2707.2 5781 22.6 6
2716.8 5801.5 22.6 6
2726.4 5822 22.6 6
2736 5842.5 22.6 6
2745.6 5863 22.6 6
2755.2 5883.5 22.6 6
2764.8 5904 22.6 6
2774.4 5924.5 22.6 6
