"","site_key","longitude_decimal_degrees","latitude_decimal_degrees","location_accuracy_min","location_accuracy_max","hzn_top","hzn_bot","hzn_desgn","db","w3cld","w15l2","tex_psda","clay_tot_psa","silt_tot_psa","sand_tot_psa","oc_v","ph_h2o_v","ksat_lab","ksat_field","source_db","location_id","hzn_depth"
"11859","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,0,15,NA,1.33,22.4,9.2,"loam",19.3,41.7,39,NA,NA,232.08,NA,"ETH_literature","ID_-103.15_40.15",7.5
"11860","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,15,30,NA,1.33,23.6,10.4,"loam",23.4,44.3,32.3,NA,NA,232.08,NA,"ETH_literature","ID_-103.15_40.15",22.5
"11861","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,30,60,NA,1.32,23,9.8,"loam",22.3,40.7,37,NA,NA,232.08,NA,"ETH_literature","ID_-103.15_40.15",45
"11862","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,60,90,NA,1.36,22.1,8.9,"loam",17.6,36.7,45.7,NA,NA,337.92,NA,"ETH_literature","ID_-103.15_40.15",75
"11863","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,90,120,NA,1.4,21.5,8.4,"loam",12,42.3,45.7,NA,NA,284.88,NA,"ETH_literature","ID_-103.15_40.15",105
"11864","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,120,150,NA,1.42,21.2,8.1,"loam",10,41.7,48.3,NA,NA,259.2,NA,"ETH_literature","ID_-103.15_40.15",135
"11865","Saseendran_S_Anapalli_et_al_2005_1",-103.15,40.15,0,100,150,180,NA,1.42,21.2,8.1,"loam",10,41.7,48.3,NA,NA,259.2,NA,"ETH_literature","ID_-103.15_40.15",165
"11866","Becker et al_2018_2_1",-110.135237,31.738638,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,26.4,"ETH_literature","ID_-110.13524_31.73864",7.5
"11867","Becker et al_2018_2_1",-110.090759,31.723949,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,27.84,"ETH_literature","ID_-110.09076_31.72395",7.5
"11868","Becker et al_2018_2_1",-110.098034,31.696631,0,100,0,15,NA,NA,NA,NA,"loam",NA,NA,NA,NA,NA,NA,21.6,"ETH_literature","ID_-110.09803_31.69663",7.5
"11869","Becker et al_2018_2_1",-110.052869,31.743855,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,23.76,"ETH_literature","ID_-110.05287_31.74386",7.5
"11870","Becker et al_2018_2_1",-110.04326,31.721753,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,39.12,"ETH_literature","ID_-110.04326_31.72175",7.5
"11871","Becker et al_2018_2_1",-110.039965,31.698827,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,102.96,"ETH_literature","ID_-110.03996_31.69883",7.5
"11872","Becker et al_2018_2_1",-110.015941,31.673705,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,111.36,"ETH_literature","ID_-110.01594_31.67371",7.5
"11873","Becker et al_2018_2_1",-110.014294,31.724224,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,63.36,"ETH_literature","ID_-110.01429_31.72422",7.5
"11874","Becker et al_2018_2_1",-110.000017,31.723949,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,133.44,"ETH_literature","ID_-110.00002_31.72395",7.5
"11875","Becker et al_2018_2_1",-109.994388,31.70926,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,9.84,"ETH_literature","ID_-109.99439_31.70926",7.5
"11876","Becker et al_2018_2_1",-109.997409,31.736167,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,46.32,"ETH_literature","ID_-109.99741_31.73617",7.5
"11877","Becker et al_2018_2_1",-109.985328,31.728479,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,41.04,"ETH_literature","ID_-109.98533_31.72848",7.5
"11878","Becker et al_2018_2_1",-109.981072,31.738913,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,66,"ETH_literature","ID_-109.98107_31.73891",7.5
"11879","Becker et al_2018_2_1",-109.942634,31.736167,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,55.44,"ETH_literature","ID_-109.94263_31.73617",7.5
"11880","Becker et al_2018_2_1",-109.902823,31.769938,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,22.56,"ETH_literature","ID_-109.90282_31.76994",7.5
"11881","Becker et al_2018_2_1",-109.898979,31.758818,0,100,0,15,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,13.2,"ETH_literature","ID_-109.89898_31.75882",7.5
"11882","Becker et al_2018_2_1",-110.076976,31.676369,0,100,0,15,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,17.04,"ETH_literature","ID_-110.07698_31.67637",7.5
"11883","Becker et al_2018_2_1",-110.135237,31.738638,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,20.16,"ETH_literature","ID_-110.13524_31.73864",22.5
"11884","Becker et al_2018_2_2",-110.090759,31.723949,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,40.56,"ETH_literature","ID_-110.09076_31.72395",22.5
"11885","Becker et al_2018_2_2",-110.098034,31.696631,0,100,15,30,NA,NA,NA,NA,"loam",NA,NA,NA,NA,NA,NA,57.6,"ETH_literature","ID_-110.09803_31.69663",22.5
"11886","Becker et al_2018_2_2",-110.052869,31.743855,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,32.16,"ETH_literature","ID_-110.05287_31.74386",22.5
"11887","Becker et al_2018_2_2",-110.04326,31.721753,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,67.2,"ETH_literature","ID_-110.04326_31.72175",22.5
"11888","Becker et al_2018_2_2",-110.039965,31.698827,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,50.4,"ETH_literature","ID_-110.03996_31.69883",22.5
"11889","Becker et al_2018_2_2",-110.015941,31.673705,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,53.04,"ETH_literature","ID_-110.01594_31.67371",22.5
"11890","Becker et al_2018_2_2",-110.014294,31.724224,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,84.24,"ETH_literature","ID_-110.01429_31.72422",22.5
"11891","Becker et al_2018_2_2",-110.000017,31.723949,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,51.6,"ETH_literature","ID_-110.00002_31.72395",22.5
"11892","Becker et al_2018_2_2",-109.994388,31.70926,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,159.12,"ETH_literature","ID_-109.99439_31.70926",22.5
"11893","Becker et al_2018_2_2",-109.997409,31.736167,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,12.96,"ETH_literature","ID_-109.99741_31.73617",22.5
"11894","Becker et al_2018_2_2",-109.985328,31.728479,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,100.32,"ETH_literature","ID_-109.98533_31.72848",22.5
"11895","Becker et al_2018_2_2",-109.981072,31.738913,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,38.16,"ETH_literature","ID_-109.98107_31.73891",22.5
"11896","Becker et al_2018_2_2",-109.942634,31.736167,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,36.48,"ETH_literature","ID_-109.94263_31.73617",22.5
"11897","Becker et al_2018_2_2",-109.902823,31.769938,0,100,15,30,NA,NA,NA,NA,"loam",NA,NA,NA,NA,NA,NA,31.92,"ETH_literature","ID_-109.90282_31.76994",22.5
"11898","Becker et al_2018_2_2",-109.898979,31.758818,0,100,15,30,NA,NA,NA,NA,"sand",NA,NA,NA,NA,NA,NA,106.32,"ETH_literature","ID_-109.89898_31.75882",22.5
"11899","Becker et al_2018_2_2",-110.076976,31.676369,0,100,15,30,NA,NA,NA,NA,"sandy loam",NA,NA,NA,NA,NA,NA,141.84,"ETH_literature","ID_-110.07698_31.67637",22.5
"11900","Ganiyu et al_2018_3",3.5026,7.2048,0,100,0,30,NA,1.42,NA,NA,"sandy loam",NA,NA,NA,0.15,6.1,24.264,NA,"ETH_literature","ID_3.5026_7.2048",15
"11901","Ganiyu et al_2018_3",3.5029,7.2046,0,100,0,30,NA,1.4,NA,NA,"sandy clay loam",NA,NA,NA,0.37,6.15,14.76,NA,"ETH_literature","ID_3.5029_7.2046",15
"11902","Ganiyu et al_2018_3",3.5024,7.2049,0,100,0,30,NA,1.58,NA,NA,"sandy clay loam",NA,NA,NA,0.23,6.05,9.888,NA,"ETH_literature","ID_3.5024_7.2049",15
"11903","Ganiyu et al_2018_3",3.4927,7.2112,0,100,0,30,NA,1.68,NA,NA,"sandy clay loam",NA,NA,NA,0.21,5.95,15.744,NA,"ETH_literature","ID_3.4927_7.2112",15
"11904","Ganiyu et al_2018_3",3.4927,7.2114,0,100,0,30,NA,1.74,NA,NA,"sandy loam",NA,NA,NA,0.15,6.1,17.568,NA,"ETH_literature","ID_3.4927_7.2114",15
"11905","Ganiyu et al_2018_3",3.4924,7.2111,0,100,0,30,NA,1.41,NA,NA,"sandy loam",NA,NA,NA,0.11,6.1,25.248,NA,"ETH_literature","ID_3.4924_7.2111",15
"11906","Ganiyu et al_2018_3",3.49318,7.22571,0,100,0,30,NA,1.56,NA,NA,"sandy clay loam",NA,NA,NA,0.23,5.8,7.752,NA,"ETH_literature","ID_3.49318_7.22571",15
"11907","Ganiyu et al_2018_3",3.49312,7.22575,0,100,0,30,NA,1.63,NA,NA,"sandy clay loam",NA,NA,NA,0.22,5.9,7.008,NA,"ETH_literature","ID_3.49312_7.22575",15
"11908","Ganiyu et al_2018_3",3.49398,7.22562,0,100,0,30,NA,1.72,NA,NA,"sandy clay loam",NA,NA,NA,0.28,5.8,3.216,NA,"ETH_literature","ID_3.49398_7.22562",15
"11909","Ganiyu et al_2018_3",3.49392,7.22566,0,100,0,30,NA,1.74,NA,NA,"sandy loam",NA,NA,NA,0.13,5.95,17.616,NA,"ETH_literature","ID_3.49392_7.22566",15
"11910","Ganiyu et al_2018_3",3.4938,7.2258,0,100,0,30,NA,1.52,NA,NA,"sandy clay loam",NA,NA,NA,0.31,5.9,10.848,NA,"ETH_literature","ID_3.4938_7.2258",15
"11911","Ganiyu et al_2018_3",3.5035,7.2258,0,100,0,30,NA,1.62,NA,NA,"sandy clay loam",NA,NA,NA,0.33,5.85,7.944,NA,"ETH_literature","ID_3.5035_7.2258",15
"11912","Kanemasu_1994_4",-95.45,39.09,0,100,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.16,"ETH_literature","ID_-95.45_39.09",3.5
"11913","Kanemasu_1994_4",-95.45,39.09,0,100,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.68,"ETH_literature","ID_-95.45_39.09",3.5
"11914","Kanemasu_1994_4",-95.45,39.09,0,100,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.032,"ETH_literature","ID_-95.45_39.09",3.5
"11915","Kanemasu_1994_4",-95.45,39.09,0,100,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.04,"ETH_literature","ID_-95.45_39.09",3.5
"11916","Kanemasu_1994_4",-95.45,39.09,0,100,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06048,"ETH_literature","ID_-95.45_39.09",15
