,site_id,var,len_scale,nugget,nu,r2,max_scale,min_scale,var_type,direction,geological_unit,measurement_method,medium,data_source,ISO 3166
0,Alto_Rio_Grande_basin,0.5121051193298011,7893.710696090483,0.4391579186469049,1.9999999999999998,0.47734384402369745,11408.02357569555,2612.808396663982,saturated_hydraulic_conductivty,x,1/1,,,10.1590/S0100-06832011000500029,BRA
1,Amik_Plain,1.0056193896008212,1049.3147582703045,9.194476537660732e-20,0.6107114369484262,0.8184709436876684,24452.82551631916,954.9386690439624,saturated_hydraulic_conductivty,x,1/3,,,10.1007/s11119-014-9379-0,TUR
2,Amik_Plain,21.181260415036316,119626386678.36032,0.6515864267757787,0.2555903236239886,0.5634864420527178,24474.719166478066,1011.2079595760506,saturated_hydraulic_conductivty,x,2/3,,,10.1007/s11119-014-9379-0,TUR
3,Amik_Plain,1.0256526330209659,281794.8018985949,0.9309678462869111,0.9095554321385417,0.16602837941367066,25225.206073388177,949.2946030198882,saturated_hydraulic_conductivty,x,3/3,,,10.1007/s11119-014-9379-0,TUR
4,Aurora_oil_sands_mine,0.7783389215686667,4.336417198017464,4.0344737813384575e-19,0.4026662849455186,0.3676483275576713,388.1429816913688,21.97035745422842,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2015.08.014,CAN
5,Baishuihe_Landslide,1.591140049529349,1.7608713567400969,9.112364850338923e-10,1.9999999999999998,0.4320802757191543,38.07391581460898,1.9072775748000368,saturated_hydraulic_conductivty,x,1/2,,,10.1155/2018/7290640,CHN
6,Baishuihe_Landslide,4.72673086098141,145.22898063400748,1.1485298042406982,1.9999999999999998,0.9098580667224723,399.2521509895015,50.01774624063375,saturated_hydraulic_conductivty,x,2/2,,,10.1155/2018/7290640,CHN
7,Bekkevoort_field_experiment,0.9302856463151841,1.229392280651347,2.510609507317627,1.9999999999994773,0.24430876084740594,13.848533610736364,0.4761362959110133,saturated_hydraulic_conductivty,x,1/3,,,10.1097/00010694-199603000-00003,BEL
8,Bekkevoort_field_experiment,0.022383735941607797,19.791822696912366,2.3458294696378488,1.044241306440473e-12,-0.0003985702688817927,13.72261174408414,0.4304857235112269,saturated_hydraulic_conductivty,x,2/3,,,10.1097/00010694-199603000-00003,BEL
9,Botucatu_Formation,1.6700261613457228,1.2273226578911998,7.96114612245125e-17,1.9999999999999998,0.6023572370252344,5.999239135736232,1.0123942837633522,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.compgeo.2018.03.004,BRA
10,Caldwell_County_site,933.6898755913795,30753.154927376716,1.773671227282942,1.9999999999999998,0.09407396839512683,472.5514988672883,83.98564769755905,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.catena.2019.104335,USA
11,Calingri_farm_site,0.00016311566470939666,0.08255178018112085,0.0001273027498653941,1.3047789736194308,0.46605890198890765,0.0700884595607544,0.0100825750888857,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj2004.0312,AUS
12,Campania_Plain_site,0.0422076188878942,1.5973995991032555,7.540291844512879e-23,0.9097730529922731,0.7837403240710396,18.073404538133143,0.9867546561996656,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0016-7061(94)00050-K,ITA
13,Campinas_Experimental_Center,0.16280043030530827,35.91178676489004,0.33455743119332254,1.9999999999999998,0.8976532062666173,102.11982069540036,12.96115397584148,saturated_hydraulic_conductivty,x,1/1,,,10.1590/S0100-06832010000100001,BRA
14,Cemagref_Experimental_Station,0.7210119425138346,16.097124707406714,0.43508676273230934,1.9999999999999998,0.933228623444787,26.099660158287147,4.023359103230503,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.agwat.2010.05.005,FRA
15,CNR_experimental_farm,0.01454651584173488,1.2738179537267302,0.004323531280942829,1.9999999999136604,0.654634883129457,11.997515737233533,0.9764009314557632,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0016-7061(93)90025-G,ITA
16,Dal_Lake_catchment,2190.039707458562,1665.4443862620708,0.867252136044956,1.2811848692551628,0.9091533333759265,4.567144240077447,0.1943465634075507,saturated_hydraulic_conductivty,x,1/1,,,10.1134/S1064229320030060,IND
17,Domaine_of_Lavalette,1.1286324365335125,8.865322698409004,8.574443352529995e-17,1.9999999999999978,0.9437394511886676,26.16028574617704,4.088625962719055,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0933-3630(94)90020-5,FRA
18,East_Central_Kansas,0.6921737623929219,0.3540811988058974,5.2197095694619094e-23,1.9999999999999998,0.34570437273725285,3.7719560439560462,0.3517762237762234,saturated_hydraulic_conductivty,x,1/1,,,10.1061/(ASCE)1084-0699(1996)1:3(131),USA
19,Eutric_Regosol_site,0.9358746181840737,1.3173222991735445,2.5147153269585085,1.9999999999994504,0.23289243295802742,13.848377538483774,0.5044446050444478,saturated_hydraulic_conductivty,x,1/3,,,10.1016/S0933-3630(96)00093-1,BEL
20,Eutric_Regosol_site,1.362914347195938,14.33988821549395,0.9655712042213656,1.9999999999999998,0.8658350194314586,18.57448503206378,1.9951046796239569,saturated_hydraulic_conductivty,x,2/3,,,10.1016/S0933-3630(96)00093-1,BEL
21,Eutric_Regosol_site,0.22303923859388483,5.86116516762948,0.5639162406671662,1.9999999999999998,0.7489897968836459,16.42335737018088,1.5065866333642193,saturated_hydraulic_conductivty,x,3/3,,,10.1016/S0933-3630(96)00093-1,BEL
22,Fall_Line_Hills_Pine_Flat,0.4070984679171611,59.475000919498676,0.09602392388449729,1.9999999999982718,0.6421931549861681,29.966525025940022,1.1015860467414402,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1998.03615995006200010012x,USA
23,Fall_Line_Hills_Troup,0.0373259008604208,29.617516342626715,0.056314837835496234,1.9999999999999998,0.4451955209350128,85.02196091319522,0.9255612774929212,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1998.03615995006200010012x,USA
24,Fuchu_Honmachi_paddy_field,0.03482825771944508,20.759984680737084,5.413062001331678e-09,1.5342308239098836,0.8654409910109261,95.6862911125743,7.698922156737655,saturated_hydraulic_conductivty,x,1/1,,,10.1007/s10333-009-0190-x,JPN
25,Heihe_River_Basin,12.052493126863087,0.08753834814571913,2.17554726264213e-14,1.0427342603139707,0.35645488045608786,1.4329544122564477,0.0617708352060059,saturated_hydraulic_conductivty,x,1/1,,,10.1002/hyp.10544,CHN
26,Huanjiang_Observation_and_Research_Station,1.755317753198868,70.9656191433171,9.635591273779127e-19,1.9999999999999998,0.876088458146654,595.4666666666667,75.04848484848486,saturated_hydraulic_conductivty,x,1/1,,,10.1007/s12665-015-4238-5,CHN
