,site_id,var,len_scale,nugget,nu,r2,max_scale,min_scale,var_type,direction,geological_unit,measurement_method,medium,data_source,ISO 3166
0,Aa_river,1.6673550339935714,1.5114275364659633,1.8357278741738149e-13,0.5389959686916717,0.7922953013365697,10.00935453695042,1.0102899906454628,hydraulic_conductivty,x,1/1,,,10.1016/j.jhydrol.2018.03.002,BEL
1,Aa_river,1.3376219470673403,1.7525428405447052,1.9583492243461933,22.915517238055067,0.21959445378696307,10.98876404494382,0.9999999999999988,hydraulic_conductivty,z,1/1,,,10.1016/j.jhydrol.2018.03.002,BEL
2,Aa_river_weir_2,2.5036878169172807,3.0267295483423418,3.431895068754199,27.906294026406588,0.42437212176055017,14.045596371168626,2.035449277642308,hydraulic_conductivty,x,1/1,,,10.1007/s10040-018-1862-7,BEL
3,Alamitos_saltwater_intrusion_barrier,0.3334721267139584,508.23102869809117,1.533150982111316e-28,0.27073886279870985,0.7960677892808203,1947.5033604735063,42.21560505004993,hydraulic_conductivty,x,1/2,,,10.1111/j.1752-1688.2007.00098.x,USA
4,Alamitos_saltwater_intrusion_barrier,0.21614111639601735,63.760323079393935,0.08736703573917658,20.29400908786189,0.7301815167678878,1445.4490701512495,32.532158683951934,hydraulic_conductivty,x,2/2,,,10.1111/j.1752-1688.2007.00098.x,USA
5,Alberta_basin,2.5774058518642082,10.048164970860713,7.930838968313469e-18,0.27141743257412837,0.9744638654243304,32.30988693360016,0.40695930991865,hydraulic_conductivty,x,1/1,,,10.1029/93WR02980,CAN
6,Almonte-Marismas_groundwater_system,0.11553781666341129,90.3273508861799,0.05234967943038864,24.153567478227405,0.37650833216630397,3227.3187201493124,88.37114201980671,permeability,x,1/1,,,10.3390/w11010039,ESP
7,Almonte-Marismas_groundwater_system,0.07610626825545946,12.461494034323417,0.013087424130233382,1.978609172089049,0.9815491725539531,148.81123331349443,10.234967100978809,permeability,z,1/1,,,10.3390/w11010039,ESP
8,Aspo_site,2.003793478564248,78.62564909188508,1.2561305033720709,0.20000000000000004,0.9112439501317358,188.3824843610366,2.6809651474530725,hydraulic_conductivty,x,1/1,,,10.1111/j.1745-6584.2005.tb02284.x,SWE
9,Barry_Steam_Plant_site,0.12725486101259126,0.5403863886036655,1.756669454518857e-35,8.503054393965419,0.4553911203185349,21.765423020357616,-0.0512810589054897,hydraulic_conductivty,x,1/2,,,10.1111/j.1745-6584.1995.tb00279.x,USA
10,Beijing_synchrotron_microtomography,0.1047686531044532,3.2529161089404795e-06,0.010082727831423959,0.751479318640705,0.9913716451228619,7.92712550607e-05,8.097165991902807e-07,indicator,x,1/1,,,,CHN
11,Beijing_synchrotron_microtomography,0.09589069995151976,3.0534263102158276e-06,0.017948666359846085,19.996547243034993,0.8863335603484633,7.90163688723e-05,9.50229635259988e-07,indicator,y,1/1,,,,CHN
12,Belridge_field,0.22905945397006452,834.8130228712668,0.4112602695136712,20.781608805546895,0.7733152426909539,11981.59151386759,486.263579291508,permeability,x,1/1,,,,USA
13,Belridge_field,0.8251119928271253,7.059729076148626,0.28475548200538775,19.999680236584258,0.8099770532047714,12.515046518780508,0.0659288377993925,permeability,z,1/1,,,,USA
14,Belgian_nuclear_repository,2.0314615057668255,12365.478771070098,0.03528179407929799,0.20783068320472795,0.5416371925171464,75.27527728196213,1.0546159688195118,hydraulic_conductivity,x,1/1,,,10.1007/s10040-006-0035-2,BEL
15,Berea_sandstone,59.60757113705077,5.002668169193952,2.209786763070655e-15,1.054772635901502,0.9922147098690222,15.826822573239944,3.6368822592777112,permeability,x,1/1,,,10.1007/BF02768903,USA
16,Biscayne_aquifer,190.7660484373361,3583.626706049955,1.0494901447416676,0.4493692912236766,0.9156215240317767,30.000000000000007,0.9306569343065688,hydraulic_conductivity,x,1/1,,,10.1111/j.1745-6584.1995.tb00279.x,USA
17,Biscayne_aquifer,2.7217146684880813,1.8591533377168554,0.627486840032353,0.20000000000000498,0.5269520398937024,4.638638039989633,0.2400972828578833,hydraulic_conductivity,z,1/1,,,10.1111/j.1745-6584.1995.tb00279.x,USA
18,Boise_site,0.0021073150989693212,5.140011068582343,0.0015518880977880654,28.944843858264207,0.5340750475260809,50.493827160493815,2.962962962962964,hydraulic_conductivity,x,1/1,,,10.1029/2002WR001436,USA
19,Boise_site,0.0038823607261522773,1.0634663998516192,0.0006344574065102744,1.0013915949288645,0.7259283716544732,12.87140340575455,0.2352625801016108,hydraulic_conductivity,z,1/1,,,10.1029/2002WR001436,USA
20,Boom_Clay_formation,2.5566882345574085,19926.078381275966,0.011397136896299093,0.20000000000000004,0.7707484226837849,45.36556965339526,1.5493001415908445,hydraulic_conductivity,x,1/1,,,10.1016/j.pce.2013.05.014,BEL
21,Boom_clay_formation_Mol_site,0.25532644271492594,5.516567503227416,0.10930666404597761,12.23749221345011,0.7661346855440505,41.19892101630202,1.7322520887999635,hydraulic_conductivity,x,1/1,,,10.1016/j.clay.2013.02.018,BEL
22,Borden_aquifer,0.38057095188379375,4.065564194570812,0.34307326324232795,22.042879793501406,0.9238527522681939,8.977677784336121,1.013775076081041,hydraulic_conductivity,x,1/1,,,10.1016/0022-1694(95)02805-6,CAN
23,Borden_aquifer,0.4200898939726157,0.11823300515785691,0.2214293937915747,3.850132233472506,0.9555515725964084,1.2499989832810738,0.052560301599502,hydraulic_conductivity,z,1/1,,,10.1016/0022-1694(95)02805-6,CAN
24,Bosque_site,0.24406584942169296,62.348035038730075,0.015083084954339715,0.20670975461437416,0.9155097060609784,155.11471790056083,-0.0685261795385869,permeability,x,1/1,,,10.1029/97WR01003,USA
25,Bosque_site,0.17069461709835912,5.105541023624538,0.013665335968642547,0.26472020977795296,0.8534863786412159,54.02373870451497,0.0488999531207063,permeability,z,1/1,,,10.1029/97WR01003,USA
26,Bouteldja_aquifer,30.34919710044328,508.58517877164405,5.152173207161483e-13,25.44634198935932,0.8747212711009096,2746.795661978994,670.9840996322698,hydraulic_conductivity,x,1/1,,,10.1007/s12665-018-8005-2,DZA
27,Cape_Cod_aquifer,231.38965678329788,6417.939886776189,0.1362660950690094,0.5709859118575479,0.9270566612368117,12.042956206078095,1.1123470005119382,hydraulic_conductivity,x,1/1,,,10.1029/96WR00272,USA
28,Cape_Cod_aquifer,1.2565964084023669,476.4107369045845,0.1486771077956169,0.20000000000000004,0.734237525690576,3.50310468965184,0.1444707530986494,hydraulic_conductivity,z,1/1,,,10.1029/96WR00272,USA
29,Carrizo_aquifer,0.09054579894602928,1630.1514219938986,0.031710507157084414,24.007500570486947,0.4931694416060962,59721.2543554007,627.1777003484331,hydraulic_transmissivity,x,1/1,,,10.1007/s11004-005-7308-5,USA
30,Cengio_chemical_facility,6.969989478838974,39.04471645721816,9.543391393317867e-12,0.3951424492268109,0.7743279060712429,735.8974358974359,20.9401709401709,hydraulic_condutivity,x,1/1,,,10.1016/j.jhydrol.2017.08.051,ITA
31,Choushui_river_alluvial_fan,1.4159291370659284,6551.165533834921,0.45843100252315644,23.572894505734524,0.5161430136266525,47583.33333333333,4166.666666666668,hydraulic_condutivity,x,1/3,,,10.1002/hyp.1397,TWN
32,Choushui_river_alluvial_fan,433.1341369545993,5193187.870409841,0.5226090356018956,0.5999490280461828,0.8666078385049621,47593.36099585062,3692.9460580912864,hydraulic_condutivity,x,2/3,,,10.1002/hyp.1397,TWN
33,Choushui_river_alluvial_fan,1.3129568783941836,8151.353156412499,7.692983245073451e-15,0.48913571324004185,0.6411194114544889,47767.53393730676,3640.2894531688894,hydraulic_condutivity,x,3/3,,,10.1002/hyp.1397,TWN
34,Clyde_Basin,0.1124537987682,241.11303262174283,0.1996727633180758,24.149869367570638,0.8698246891184026,4952.563540753723,134.37099710105804,hydraulic_conductivity,x,1/1,,,10.1017/S1755691018000312,GBR
35,Clyde_Basin,0.09688998230872566,3.4540093492526625,0.1233284539992828,25.439781164363026,0.6404043351544286,13.995942395317126,1.933332224698174,hydraulic_conductivity,z,1/1,,,10.1017/S1755691018000312,GBR
36,Dammam_aquifer,1.3740923705538413,8881.35218029061,0.41679898234609264,22.38050063843987,0.8415306993244005,85842.05025592468,1728.317864703833,hydraulic_transmissivity,x,1/1,,,10.3390/w10070828,KWT
37,Drau_valley,111.32624662063573,4557911.601705645,0.5984746111425584,0.5633903815424447,0.8891784575283671,9710.570353398796,108.03089147805916,permeability,x,1/1,,,10.1306/E4FD3351-1732-11D7-8645000102C1865D,AUT
38,Drau_valley,0.8655106521477132,1.5072272010844838,0.15154958284113385,19.999997607707122,0.9980157697866079,10.0140895504573,0.4705427436079791,permeability,z,1/1,,,10.1306/E4FD3351-1732-11D7-8645000102C1865D,AUT
39,Dulliu_area,0.21120367727340333,826.3024529512736,0.6923511490536121,11.408519295784437,0.798045037016865,17482.185273159146,546.3182897862225,hydraulic_transmissivity,x,1/1,,,10.1007/s002540000150,TWN
40,Enfida_plain,28780.501315280464,362524.39508549037,13.290322013790107,26.821678374593272,0.3317587323125357,13757.340289366664,403.8657831208179,hydraulic_transmissivity,x,1/1,,,10.1007/s12517-012-0814-0,TUN
41,Eocene_Ainsa_basin,0.9632375228579847,58.29570999651701,4.678524446976338e-18,0.2443729776842636,0.9848634766420367,397.3912219060382,3.402335674290456,permeability,x,1/1,,,10.1306/02070605112,ESP
42,Eocene_Ainsa_basin,0.939233219284231,0.2640316599364404,1.5545431068926466e-16,0.28162763715769124,0.9044251294619409,5.988850478426564,0.0674900008258909,permeability,z,1/1,,,10.1306/02070605112,ESP
43,Euganean_basin,1.6094756965779686,37.35102481697157,2.3333506024756282e-08,0.8288907045419436,0.9062649815462088,801.6437462899986,30.90487483222755,hydraulic_transmissivity,x,1/1,,,10.1111/j.1745-6584.1997.tb00156.x,ITA
44,Euganean_basin,0.433118315936606,58.085192179018094,0.968898813791522,6.446386336100793,0.8256786065331564,799.7759788506063,34.320333828662285,hydraulic_transmissivity,y,1/1,,,10.1111/j.1745-6584.1997.tb00156.x,ITA
45,Experimental_EarthScape_facility,1087.9775489970536,186853.37047658672,0.1064025852484411,0.6896761068717349,0.997593390167664,1299.969489870637,101.05361646733382,hydraulic_conductivity,x,1/12,,,10.1029/2004WR003756,USA
46,Experimental_EarthScape_facility,0.6259899535605178,2.381300955419635,1.7092838913345532e-09,22.391832502767596,0.5123227491153279,64.60541474654379,4.837037312323472,hydraulic_conductivity,z,1/12,,,10.1029/2004WR003756,USA
47,Experimental_EarthScape_facility,0.909455263527656,11842.453229621555,0.3840460716056801,0.20000000000000004,0.9780077241273493,14176.494335618616,144.09071584490357,hydraulic_conductivity,x,2/12,,,10.1029/2004WR003756,USA
48,Experimental_EarthScape_facility,66.2061537283767,74128.0591790938,0.4452138664677244,0.3319265211942848,0.9803971247538167,101.02307375589778,5.081150405056528,hydraulic_conductivity,z,2/12,,,10.1029/2004WR003756,USA
49,Fanshawe_section_gravel_pit,0.5830936311324684,0.6403515826862691,0.35825021105858995,6.116208691829948,0.8460000271104264,21.90350182737043,0.4457265559760976,hydraulic_conductivity,x,1/1,,,10.1111/j.1745-6584.2003.tb02564.x,CAN
50,Fanshawe_section_gravel_pit,1.2757320436543138,0.21277227830173617,2.7957888032478456e-09,22.350972533967045,0.9496576095167064,2.3884153105104016,-0.0020665238334017,hydraulic_conductivity,z,1/1,,,10.1111/j.1745-6584.2003.tb02564.x,CAN
51,Finnsjon_area,0.718331533389255,21.27506032998871,0.08704676814963501,1.2206267186049586,0.9790049334803278,300.5933742367968,10.203197046580648,variogram_conductivity,x,1/2,,,10.1111/j.1745-6584.1993.tb00869.x,SWE
52,Finnsjon_area,0.718331533389255,21.27506032998871,0.08704676814963501,1.2206267186049586,0.9790049334803278,300.5933742367968,10.203197046580648,variogram_conductivity,x,2/2,,,10.1111/j.1745-6584.1993.tb00869.x,SWE
53,Georgetown_site,3.9674304843029426e-17,74.22818698962517,0.7118287061100037,21.740691366692516,-3.871806567579128e-05,5.044757033248082,0.7161125319693089,hydraulic_conductivity,x,1/3,,,10.1111/j.1745-6584.1997.tb00110.x,USA
54,Georgetown_site,0.7108078612785342,0.7891843012960471,0.3311450593181202,24.62736414370722,0.5822774995071622,5.179084298471343,0.6752355733498665,hydraulic_conductivity,x,2/3,,,10.1111/j.1745-6584.1997.tb00110.x,USA
55,Georgetown_site,0.17884479075358878,0.7567459012208311,0.16061577033685534,21.48789822450227,0.1390192773139881,4.665172817072328,0.6895941926924505,hydraulic_conductivity,x,3/3,,,10.1111/j.1745-6584.1997.tb00110.x,USA
56,Hanford_site,0.5549781058684953,218.58662634687883,0.3679154819689421,0.3859716584873034,0.8131976175268852,1440.7374890254605,0.0,hydraulic_conductivity,x,1/1,,,,USA
57,Hanford_site,1.0191770678499064,4.405986148807221,4.4448033227654096e-23,0.3828202018586317,0.9940128557953067,21.836183618361844,-0.0180018001800181,hydraulic_conductivity,z,1/1,,,,USA
58,Hawaii_aquifer_Oahu,4.907884576963171,250.7501527416947,0.9599628325707631,23.864737707260673,0.27135320331165536,14489.889705882351,110.29411764705856,hydraulic_conductivity,x,1/1,,,10.1007/s10040-007-0271-0,USA
59,Herten_site,0.07457386718620905,2.7785108553630327,9.66346257303661e-25,0.6857436419505553,0.9767002968297819,10.43478260869565,0.4076086956521738,indicator,x,1/1,,,10.1016/j.jhydrol.2011.03.037,DEU
60,Hyderabad,0.5467259813293351,1251.3885386303464,0.07921015366022828,0.2000000023372606,0.9770531795155898,3526.3975155279504,102.48447204968944,hydraulic_conductivity,x,1/1,,,10.1016/j.jhydrol.2011.11.038,IND
61,Jacksonburg_Stringtown_oil_field,3964.952612170752,224743.25121081714,0.4396971307811612,26.572344724874174,0.23185708650897308,7482.732421605193,560.6782704793482,permeability,x,1/1,,,10.1016/j.ijggc.2018.10.011,USA
62,Jacksonburg_Stringtown_oil_field,0.672236574953132,417.45306225077644,0.1750295533514674,20.29410806678874,0.02079027120602217,3493.369738180743,469.6920949888266,permeability,y,1/1,,,10.1016/j.ijggc.2018.10.011,USA
63,Jacksonburg_Stringtown_oil_field,0.9125792178266994,3.073490726869696,4.9809082502279495e-17,0.31926237198304125,0.2715331210785198,15.213403806380176,1.5572314956023985,permeability,z,1/1,,,10.1016/j.ijggc.2018.10.011,USA
64,Jianghan_Plain,1.1929402837785505,7511.203356678597,0.04332056877209739,1.0204879853693598,0.9199024745781712,69485.09194463684,64.849653204883,hydraulic_conductivity,x,1/1,,,10.1016/j.jhydrol.2020.125917,CHN
65,Jianghan_Plain,0.20079964178407433,15689.03963849054,0.032855194848758554,20.632313175601155,0.9669842833198858,79219.15402253988,205.0787920183448,hydraulic_conductivity,y,1/1,,,10.1016/j.jhydrol.2020.125917,CHN
66,Krauthausen_field,0.812017155143984,4.57714913299482,0.02633844155402294,1.770103189248322,0.3351824958046803,70.02267147063529,0.0011288699071485,hydraulic_conductivity,x,1/1,,,10.1016/S0169-7722(00)00107-8,DEU
67,Krauthausen_field,0.43716752662552866,0.24646905501128616,0.6271739550999912,23.690645509160376,0.8475957597701738,2.3990457056755394,0.0999304562840475,hydraulic_conductivity,z,1/1,,,10.1016/S0169-7722(00)00107-8,DEU
68,Kiso_river,0.4857979260076766,11.835069049704154,0.17419470321441025,3.512795763228884,0.8676057923924044,119.834889082465,4.984267972829528,permeability,x,1/1,,,10.1029/2001WR000672,JPN
69,Lauswiesen_site,0.21675631463968045,0.11732455848394455,3.537698612003265e-10,24.370372698542912,0.9867009169808533,1.5218181818181815,0.0081818181818181,hydraulic_conductivity,x,1/2,,,10.1029/2009WR008949,DEU
70,Lauswiesen_site,3.8822823740375645,0.23350346356756704,0.005664545572902508,0.39532570579299375,0.9822177150209961,2.113845454889638,0.0065498050202551,hydraulic_conductivity,x,2/2,,,10.1029/2009WR008949,DEU
71,Libertador_General_Bernardos_O_Higgins_region,602.9589588936423,816793.7789787675,2.5865202858202574,29.812373035088445,0.058509696033217096,44722.43982190645,316.47032799618864,hydraulic_conductivity,x,1/1,,,10.4067/S0718-58392011000200012,CHL
72,Lower_Cretaceous_Viking_formation,3.5881274683124893,138.58135252765922,0.35522771368768186,19.999894028338183,0.8989097635276784,2991.1558538986915,208.7253645499585,permeability,x,1/1,,,10.2118/21520-PA,USA
73,Lower_Cretaceous_Viking_formation,4.027976138818811,1.6814915690735124,0.1138016437616699,0.42779624678932665,0.9668438874694051,10.479972807613866,0.1546295037389535,permeability,z,1/1,,,10.2118/21520-PA,USA
74,Lower_Triassic_sandstones_Scrabo_quarry,0.14305098854380516,0.021555654213011043,0.17883492153526145,19.970788787978112,0.67480604435403,0.2263797942001871,0.0502806361085126,permeability,x,1/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
75,Lower_Triassic_sandstones_Scrabo_quarry,1.0719098679472174,0.027502963029859086,0.24737487781295558,1.0505728066764382,0.9991928117338028,0.0726273507294505,0.0100504292859755,permeability,x,2/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
76,Lower_Triassic_sandstones_Scrabo_quarry,0.02795549112002031,0.038436280149230964,0.043212282075628335,28.342536170206976,0.8820912974911211,0.321823334776767,0.0502267856944583,permeability,x,3/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
77,Lower_Triassic_sandstones_Scrabo_quarry,0.025586169886230022,0.006925045563238512,0.11811710787526906,24.62878096148891,0.6896810620523037,0.0644969651202553,0.0101365220943044,permeability,x,4/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
78,Lower_Triassic_sandstones_Scrabo_quarry,5.532380071095514e-07,16.356825002851476,0.08181804365053535,16.03302600846323,-2.8222979508996104e-11,0.1858649921981936,4.58655467692e-05,permeability,x,5/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
79,Lower_Triassic_sandstones_Scrabo_quarry,0.22280800726986275,0.003685846465467485,3.544416989228117e-08,28.215539939285012,0.799703955828105,0.0738065158152932,0.0098185818519655,permeability,x,6/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
80,Lower_Triassic_sandstones_Scrabo_quarry,0.10227921789291856,0.06492447130402282,0.07531781488855105,0.2000000000000001,0.8067610528152169,0.3209236531621724,0.0503031308183805,permeability,x,7/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
81,Lower_Triassic_sandstones_Scrabo_quarry,0.050098346216527284,0.008419109610841061,0.07908325626759408,28.57818225862389,0.6121883710232688,0.1044115409583316,0.0100758966608512,permeability,x,8/8,,,10.1023/B:MATG.0000041178.73284.88,GBR
82,MADE_site,0.9674554293720812,0.48215566015869005,0.07210532558596003,0.20000000000000018,0.93189594853118,2.952681947069944,0.1091098250861565,hydraulic_conductivity,x,1/1,,,10.1029/2009WR008966,USA
83,MADE_site,1.0279992690780508,0.2683744306957316,0.026043287913653942,0.20000000000000004,0.8725808605992309,2.9703166655829376,0.1091098250861565,hydraulic_conductivity,z,1/1,,,10.1029/2009WR008966,USA
84,Man-Danane_region,0.026791921018815387,549.7686477813708,0.02160172719527392,21.600349173090237,0.41360506216309323,44973.54497354496,308.6419753086411,hydraulic_transmissivity,x,1/1,,,10.1016/j.jhydrol.2005.10.014,CIV
85,Mirror_Lake_site,0.26242397245853855,19.939902630767673,0.8486033911688581,20.09120003949844,0.6823551206804006,65.45992967974162,9.47149464844344,indicator,x,1/1,,,10.1029/2000WR900073,USA
