,site_id,var,len_scale,nugget,nu,r2,max_scale,min_scale,var_type,direction,geological_unit,measurement_method,medium,data_source,ISO 3166
0,Alto_Rio_Grande_basin,0.5121790205307122,6997.812944850434,0.43920603925939855,nan,0.47734380054940306,11408.02357569555,2612.808396663982,saturated_hydraulic_conductivty,x,1/1,,,10.1590/S0100-06832011000500029,BRA
1,Amik_Plain,0.5502950990608193,1581.2680044655617,0.4313625081410746,nan,0.7699452896528411,24452.82551631916,954.9386690439624,saturated_hydraulic_conductivty,x,1/3,,,10.1007/s11119-014-9379-0,TUR
2,Amik_Plain,0.1835224480139236,9824.922028719413,0.869948806589193,nan,0.5808208248154209,24474.719166478066,1011.2079595760506,saturated_hydraulic_conductivty,x,2/3,,,10.1007/s11119-014-9379-0,TUR
3,Amik_Plain,0.11044862445405058,9443.251250142512,0.9197185546014508,nan,0.2605913860654896,25225.206073388177,949.2946030198882,saturated_hydraulic_conductivty,x,3/3,,,10.1007/s11119-014-9379-0,TUR
4,Aurora_oil_sands_mine,0.7656127480750629,14.384039113472282,3.0738669105187766e-11,nan,0.368479957306605,388.1429816913688,21.97035745422842,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2015.08.014,CAN
5,Baishuihe_Landslide,529.4497013045625,1757.2355143975417,1.4951434686645992,nan,0.13562510330742006,38.07391581460898,1.9072775748000368,saturated_hydraulic_conductivty,x,1/2,,,10.1155/2018/7290640,CHN
6,Baishuihe_Landslide,4.726769160241233,128.70136586293773,1.1484470885986326,nan,0.9098580021299058,399.2521509895015,50.01774624063375,saturated_hydraulic_conductivty,x,2/2,,,10.1155/2018/7290640,CHN
7,Bekkevoort_field_experiment,0.9302869053388036,1.0895162517075379,2.5106080229592243,nan,0.24430875172275568,13.848533610736364,0.4761362959110133,saturated_hydraulic_conductivty,x,1/3,,,10.1097/00010694-199603000-00003,BEL
8,Botucatu_Formation,1.670017837316638,1.087654621970968,1.591142248645443e-24,nan,0.602358303040236,5.999239135736232,1.0123942837633522,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.compgeo.2018.03.004,BRA
9,Caldwell_County_site,760.0963591175265,24590.937465812447,1.7736757625125243,nan,0.09407181182467417,472.5514988672883,83.98564769755905,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.catena.2019.104335,USA
10,Calingri_farm_site,0.00012205614702042762,0.04459578308675524,0.00011870215650657627,nan,0.49854709404829545,0.0700884595607544,0.0100825750888857,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj2004.0312,AUS
11,Campania_Plain_site,0.029407483991425527,1.7756840250153967,0.011973941146015563,nan,0.7679415755405239,18.073404538133143,0.9867546561996656,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0016-7061(94)00050-K,ITA
12,Campinas_Experimental_Center,0.1628007889327609,31.825866742237558,0.3345569417923231,nan,0.8976532063610441,102.11982069540036,12.96115397584148,saturated_hydraulic_conductivty,x,1/1,,,10.1590/S0100-06832010000100001,BRA
13,Cemagref_Experimental_Station,0.7210069330890945,14.265391236054468,0.4350823867031411,nan,0.9332286252050999,26.099660158287147,4.023359103230503,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.agwat.2010.05.005,FRA
14,CNR_experimental_farm,0.014544820427496847,1.1290079063245362,0.0043252756348597,nan,0.6546348689522925,11.997515737233533,0.9764009314557632,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0016-7061(93)90025-G,ITA
15,Dal_Lake_catchment,2.823306120855411,5.826351973551816,0.9708001155502577,nan,0.8936116061837847,4.567144240077447,0.1943465634075507,saturated_hydraulic_conductivty,x,1/1,,,10.1134/S1064229320030060,IND
16,Domaine_of_Lavalette,1.1286326072253077,7.856691927032387,1.5683607975579422e-19,nan,0.9437394505079294,26.16028574617704,4.088625962719055,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0933-3630(94)90020-5,FRA
17,East_Central_Kansas,0.6921739832663951,0.313797373674845,6.120677365598239e-31,nan,0.3457043362423746,3.7719560439560462,0.3517762237762234,saturated_hydraulic_conductivty,x,1/1,,,10.1061/(ASCE)1084-0699(1996)1:3(131),USA
18,Eutric_Regosol_site,0.9358881462282188,1.167397618394144,2.514699267293678,nan,0.2328923464693219,13.848377538483774,0.5044446050444478,saturated_hydraulic_conductivty,x,1/3,,,10.1016/S0933-3630(96)00093-1,BEL
19,Eutric_Regosol_site,1.3629382670046617,12.708676111769908,0.9655758015390579,nan,0.8658350396230744,18.57448503206378,1.9951046796239569,saturated_hydraulic_conductivty,x,2/3,,,10.1016/S0933-3630(96)00093-1,BEL
20,Eutric_Regosol_site,0.22303929513678342,5.194312941121242,0.5639160818321342,nan,0.7489897975299613,16.42335737018088,1.5065866333642193,saturated_hydraulic_conductivty,x,3/3,,,10.1016/S0933-3630(96)00093-1,BEL
21,Fall_Line_Hills_Pine_Flat,0.406993090434326,52.70063482468481,0.09602355761626173,nan,0.6421931539189385,29.966525025940022,1.1015860467414402,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1998.03615995006200010012x,USA
22,Fall_Line_Hills_Troup,0.03732591714186525,26.247747864158764,0.056314787055086815,nan,0.44519552117724226,85.02196091319522,0.9255612774929212,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1998.03615995006200010012x,USA
23,Fuchu_Honmachi_paddy_field,0.030659632718165346,19.875420964296108,0.00388119570412081,nan,0.8618018799105979,95.6862911125743,7.698922156737655,saturated_hydraulic_conductivty,x,1/1,,,10.1007/s10333-009-0190-x,JPN
24,Heihe_River_Basin,7.690289595812766,0.10898901687130727,4.252692502445532,nan,0.35103837705582797,1.4329544122564477,0.0617708352060059,saturated_hydraulic_conductivty,x,1/1,,,10.1002/hyp.10544,CHN
25,Huanjiang_Observation_and_Research_Station,1.7553177457944595,62.89164016207245,2.378553086302759e-17,nan,0.8760884582428963,595.4666666666667,75.04848484848486,saturated_hydraulic_conductivty,x,1/1,,,10.1007/s12665-015-4238-5,CHN
26,Instituto_Agronomico_Campinas,0.16350912123700742,20.93708414831861,0.382077951490798,nan,0.7498895865479788,100.564538847259,12.565778353710076,saturated_hydraulic_conductivty,x,1/2,,,10.1590/S0100-06832010000100001,BRA
27,Instituto_Agronomico_Campinas,0.16177638867578165,33.21697251684425,0.3432956163417675,nan,0.9067006137385476,102.40194300313846,12.701752172473071,saturated_hydraulic_conductivty,x,2/2,,,10.1590/S0100-06832010000100001,BRA
28,Karkheh_River_site,0.8261879139127724,2043.3212510514047,3.9719511772065608,nan,0.8109173310464439,9752.194293537124,582.7333142713558,saturated_hydraulic_conductivty,x,1/1,,,10.13031/2013.28512,IRN
29,Karrendorfer_Wiesen,0.9101006923242774,6.552933998633009,0.7796776393075863,nan,0.8744524449009167,8.27514267681854,1.0994682351045393,saturated_hydraulic_conductivty,x,1/1,,,10.19189/MaP.2019.GDC.StA.1779,DEU
30,Key_Lake_Uranium_Mine,0.013654389442722202,8.80022416489686,0.010408873185323545,nan,0.1654488430434755,49.66688041387256,0.2260648414829003,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2015.08.014,CAN
31,Krauthausen_site,0.290623735545115,0.26000368096955273,0.24879459266063592,nan,0.7626685085530899,1.907843969749237,0.0991694308080139,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.jconhyd.2007.07.013,DEU
32,Kwinana_Bauxite_Residue_Disposal_Area,2.283271807506692,3.904557331039837,10.538226998335448,nan,0.6330639100021824,15.077239958805356,1.499485066941299,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2011.06.010,AUS
33,LaoYeManQu_watershed,0.2877128062302825,126.95039556156043,0.05944419169647357,nan,0.9728568163191004,220.1116644659548,11.218016032272487,saturated_hydraulic_conductivty,x,1/1,,,10.1061/(ASCE)HE.1943-5584.0000630,CHN
34,Loess_Plateau,0.08917187085792731,60.91164347274357,0.16847009957996223,nan,0.8926497903689163,379.1539896543812,26.200662637485493,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.jhydrol.2013.02.006,CHN
35,Lutzito_catchment,0.30934312707081185,23.531914673043634,0.6506886499599741,nan,0.5259837668415979,120.2524558572838,7.019504324475335,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2012.11.002,PAN
36,Lykorrema_stream,0.9085740119828725,0.36310880579124877,0.2905304545139139,nan,0.4720845505451098,1.318315159528657,0.0589149196902114,saturated_hydraulic_conductivty,x,1/1,,,10.1080/02626667.2020.1831694,GRC
37,Mahantango_Creek_watershed,0.9316822133718624,0.10375620778604176,0.16918898439293845,nan,0.7505219337779484,0.5162098206719935,0.0646698092482283,saturated_hydraulic_conductivty,x,1/3,,,10.1080/02693799608902090,USA
38,Manoa_Waimanalo_Research_Station,0.5307370623017393,43.64792230700331,0.8209806239299616,nan,0.6305345881200022,94.1793279376384,11.58632883813736,saturated_hydraulic_conductivty,x,1/1,,,10.3390/agronomy9110750,USA
39,Mansoura_site,0.2813942862358374,2302.569401126319,1.0029315486888362,nan,0.9654130301004132,7970.93134442532,384.1652323580042,saturated_hydraulic_conductivty,x,1/1,,,10.1016/0016-7061(93)90040-R,EGY
40,MonDak_Irrigation_Research_Farm,0.015883670767508414,45.237437258258446,0.03304544159245167,nan,0.9273143341314116,187.3159682899207,15.855039637599091,saturated_hydraulic_conductivty,x,1/1,,,10.13031/2013.29957,USA
41,Nazareno_site,10910.605348059667,33.6100737785266,68.52464672399354,nan,-0.08644657633025998,0.8868840428228955,0.135250608229219,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.still.2021.105127,BRA
42,Nile_delta,0.9988284962430987,50.04988185876309,2.0576363601018903e-10,nan,0.25475363187603883,449.6788622548457,82.83633444202309,saturated_hydraulic_conductivty,x,1/1,,,10.1016/S0378-3774(98)00046-8,EGY
43,Northeast_China,1.8227808663029386,183.93764410037844,0.8481867933837255,nan,0.879927502741471,460.4661966094792,19.011225372906367,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.catena.2022.106115,CHN
44,Ondokuz_Mayis_University,2.0965762727396924,114.0015955643159,0.2228891454155843,nan,0.7037884999993258,36.17551462621884,5.960996749729143,saturated_hydraulic_conductivty,x,1/1,,,10.18393/ejss.2016.3.192-200,TUR
45,Orchard_Experiment_site,180.93579085110375,703.8850670957623,0.6453556898164026,nan,0.1973020700888065,30.33352896909555,3.06264785202735,saturated_hydraulic_conductivty,x,1/1,,,10.2136/vzj2008.0087,USA
46,Pars_Abad,8.62465673017242,6328.305518462826,5.813394492421024,nan,0.9737031875378755,4877.741101773808,226.8617717875976,saturated_hydraulic_conductivty,x,1/1,,,10.1007/s12517-018-3788-8,IRN
47,Pla_de_Sant_Jordi,769.8843202556254,7707.863607333062,760.8257409948275,nan,-0.09267413590058471,4273.024893446166,214.16841150121093,saturated_hydraulic_conductivty,x,1/2,,,10.1016/j.catena.2021.105788,ESP
48,Pla_de_Sant_Jordi,285.26527354247514,1078.591725412477,640.5103341964473,nan,0.6938848084117246,4278.327667991779,229.7862533848014,saturated_hydraulic_conductivty,x,2/2,,,10.1016/j.catena.2021.105788,ESP
49,Plastic_Lake_watershed,7.619607527794695,18.087741788095393,2.3161427133011137e-12,nan,0.94774887510199,97.4348845984946,14.205231299527547,saturated_hydraulic_conductivty,x,1/1,,,10.1016/S0022-1694(97)00095-4,CAN
50,Reserva_Biosfera_de_San_Francisco,0.1521871830743491,2.235416500655073,0.44402459939709027,nan,0.5901736802399685,55.91585928152449,0.2527942335191291,saturated_hydraulic_conductivty,x,1/3,,,10.1029/2007WR006604,ECU
51,Reserva_Biosfera_de_San_Francisco,0.20744331354464116,4.018724930149984,0.5009401550487321,nan,0.6462765069245293,55.75936481661326,0.2230337160432434,saturated_hydraulic_conductivty,x,2/3,,,10.1029/2007WR006604,ECU
52,Reserva_Biosfera_de_San_Francisco,0.4146434954985216,38.96408660365223,0.31241376656400766,nan,0.6875955239828498,55.50314238763803,0.1892820076685843,saturated_hydraulic_conductivty,x,3/3,,,10.1029/2007WR006604,ECU
53,Ribera_Seca_catchment,115.74961476084552,521.880444831141,90.13852914557933,nan,0.24669341297198355,4980.125499653872,161.0057837029094,saturated_hydraulic_conductivty,x,1/1,,,10.1002/esp.3501,POR
54,Saby_site,0.2306774961935468,4.364847196788307,0.11763253609442127,nan,0.693749860005206,11.335870599429118,0.4662226450999034,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1999.03615995006300030010x,SWE
55,Shenmu_County_watershed,0.15095929216790613,126.97720528065778,0.5952465307988226,nan,0.8713605316260594,494.66063348416304,35.29411764705881,saturated_hydraulic_conductivty,x,1/1,,,10.1002/ldr.1128,CHN
56,Smeaton_farm_field,0.3606123149867677,34.888146405636455,0.6456884094273645,nan,0.31853344310061893,186.4306784660768,3.539823008849588,saturated_hydraulic_conductivty,x,1/1,,,10.4141/cjss08052,CAN
57,South_Jingyang_Plateau,0.015797150561608363,3.0607226440396635,0.004114317530825235,nan,0.8799850670438015,10.029413006884152,1.0151107437418174,saturated_hydraulic_conductivty,x,1/2,,,10.1016/j.enggeo.2017.08.002,CHN
58,South_Jingyang_Plateau,0.01903659334513338,7.248087557532866,0.007686274154687575,nan,0.6769715664894712,9.95760379058024,0.9962827264754456,saturated_hydraulic_conductivty,x,2/2,,,10.1016/j.enggeo.2017.08.002,CHN
59,Spanish_mainland,75.17273908666932,31.746745299816666,165.9171576661365,nan,0.6941350438609786,161.61866931479642,1.0427010923535036,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.geoderma.2004.02.011,ESP
60,Vargem_de_Caldas_basin,0.24177102404868683,66.94995789863358,3.9396560942998446e-17,nan,0.8369963802944822,1779.555929850118,30.136054808863264,saturated_hydraulic_conductivty,x,1/2,,,10.1016/j.envsoft.2013.01.009,BRA
61,Vargem_de_Caldas_basin,0.15826553115002345,81.24985843897893,0.06932876428843399,nan,0.7007929180033718,1772.1238938053093,37.83185840707955,saturated_hydraulic_conductivty,x,2/2,,,10.1016/j.envsoft.2013.01.009,BRA
62,Waimanalo_Research_Station,0.3160527504441899,45.11554623918356,0.891945090127604,nan,0.6280603377311722,93.87695852102983,11.654429324667298,saturated_hydraulic_conductivty,x,1/1,,,10.3390/agronomy9110750,USA
63,Water_management_study_site,1.9365876031577345,140.69774376543074,0.7462534376862673,nan,0.9803059019867512,140.65823205797977,6.36725191580171,saturated_hydraulic_conductivty,x,1/1,,,10.13031/2013.31743,USA
64,West_Side_Field_Station,0.16031876323705324,14.461875146374227,0.2834717047586912,nan,0.739712607600376,39.9621212121212,1.231060606060609,saturated_hydraulic_conductivty,x,1/1,,,10.2136/sssaj1990.03615995005400060005x,USA
65,Xilin_River_basin,0.14398293103722648,40.70078613778516,0.11928277901246064,nan,0.7929556639241663,127.3995806398624,13.970554605392415,saturated_hydraulic_conductivty,x,1/1,,,10.1016/j.ecolmodel.2007.02.019,CHN
